"","team","salary","player","position","season"
"394","Minnesota Timberwolves",2350000,"Quincy Lewis","SG","2003-2004"
"395","Toronto Raptors",2270000,"Dion Glover","SG","2003-2004"
"396","Indiana Pacers",2264000,"Jeff Foster","PF","2003-2004"
"397","LA Clippers",2256000,"Keyon Dooling","PG","2003-2004"
"398","Los Angeles Lakers",2244000,"Devean George","SF","2003-2004"
"399","Toronto Raptors",2230000,"Jerome Moiso","C","2003-2004"
"400","Philadelphia 76ers",2225000,"Kenny Thomas","PF","2003-2004"
"401","Washington Wizards",2211000,"Etan Thomas","C","2003-2004"
"402","Cleveland Cavaliers",2134000,"Mateen Cleaves","PG","2003-2004"
"403","Cleveland Cavaliers",2118000,"DeSagana Diop","C","2003-2004"
"404","Atlanta Hawks",2109000,"Jason Collier","C","2003-2004"
"405","Boston Celtics",2104000,"Jumaine Jones","SF","2003-2004"
"406","Houston Rockets",2102000,"Scott Padgett","PF","2003-2004"
"407","San Antonio Spurs",1995000,"Hedo Turkoglu","SF","2003-2004"
"408","Denver Nuggets",1948000,"Rodney White","SF","2003-2004"
"409","Milwaukee Bucks",1898000,"Desmond Mason","SF","2003-2004"
"410","Phoenix Suns",1850000,"Joe Johnson","G","2003-2004"
"411","LA Clippers",1805000,"Quentin Richardson","SF","2003-2004"
"412","Cleveland Cavaliers",1757000,"Kedrick Brown","SG","2003-2004"
"413","New Orleans Hornets",1735000,"Jamaal Magloire","C","2003-2004"
"414","Seattle SuperSonics",1670000,"Vladimir Radmanovic","SF","2003-2004"
"415","Golden State Warriors",1667000,"Speedy Claxton","PG","2003-2004"
"416","Toronto Raptors",1646000,"Morris Peterson","SG","2003-2004"
"417","Phoenix Suns",1631000,"Donnell Harvey","PF","2003-2004"
"418","Utah Jazz",1624000,"DeShawn Stevenson","SG","2003-2004"
"419","New Jersey Nets",1586000,"Richard Jefferson","F","2003-2004"
"420","Memphis Grizzlies",1580000,"Jake Tsakalidis","C","2003-2004"
"421","Dallas Mavericks",1537000,"Mamadou N'diaye","C","2003-2004"
"422","Golden State Warriors",1507000,"Troy Murphy","PF","2003-2004"
"423","Minnesota Timberwolves",1474000,"Mark Madsen","PF","2003-2004"
"424","New Orleans Hornets",1300000,"Bryce Drew","PG","2003-2004"
"425","Toronto Raptors",1292000,"Michael Bradley","PF","2003-2004"
"426","New Jersey Nets",1227000,"Jason Collins","C","2003-2004"
"427","Portland Trail Blazers",1172000,"Zach Randolph","PF","2003-2004"
"428","New Jersey Nets",995000,"Brandon Armstrong","SG","2003-2004"
"429","Utah Jazz",956000,"Andrei Kirilenko","SF","2003-2004"
"430","Philadelphia 76ers",887000,"Samuel Dalembert","C","2003-2004"
"431","Indiana Pacers",862000,"Primoz Brezec","C","2003-2004"
"432","Indiana Pacers",861000,"Jamaal Tinsley","PG","2003-2004"
"433","San Antonio Spurs",856000,"Tony Parker","PG","2003-2004"
"434","Sacramento Kings",764000,"Gerald Wallace","SF","2003-2004"
"435","LA Clippers",639000,"Predrag Drobnjak","C","2003-2004"
"436","Minnesota Timberwolves",587000,"Trenton Hassell","SF","2003-2004"
"437","Miami Heat",29464000,"Shaquille O'Neal","C","2004-2005"
"438","Dallas Mavericks",14609000,"Michael Finley","SG","2004-2005"
"439","Houston Rockets",14487000,"Tracy McGrady","SG","2004-2005"
"440","Orlando Magic",14487000,"Grant Hill","SF","2004-2005"
"441","Miami Heat",13440000,"Eddie Jones","SG","2004-2005"
"442","Los Angeles Lakers",13346000,"Brian Grant","PF","2004-2005"
"443","Toronto Raptors",13281000,"Vince Carter","SF","2004-2005"
"444","New York Knicks",12900000,"Tim Thomas","PF","2004-2005"
"445","Chicago Bulls",1.2e+07,"Antonio Davis","PF","2004-2005"
"446","San Antonio Spurs",1.2e+07,"Glenn Robinson","SF","2004-2005"
"447","Portland Trail Blazers",11821000,"Nick Van Exel","PG","2004-2005"
"448","Houston Rockets",19684000,"Dikembe Mutombo","C","2004-2005"
"449","Portland Trail Blazers",10937000,"Theo Ratliff","C","2004-2005"
"450","LA Clippers",9817000,"Kerry Kittles","SG","2004-2005"
"451","Philadelphia 76ers",9300000,"Jamal Mashburn","SF","2004-2005"
"452","New York Knicks",8450000,"Maurice Taylor","PF","2004-2005"
"453","Portland Trail Blazers",8444000,"Derek Anderson","SG","2004-2005"
"454","Dallas Mavericks",8273000,"Alan Henderson","PF","2004-2005"
"455","Indiana Pacers",8260000,"Austin Croshere","PF","2004-2005"
"456","Dallas Mavericks",8105000,"Erick Dampier","C","2004-2005"
"457","Orlando Magic",7992000,"Kelvin Cato","C","2004-2005"
"458","Denver Nuggets",7750000,"Marcus Camby","C","2004-2005"
"459","New York Knicks",17531000,"Allan Houston","SG","2004-2005"
"460","New York Knicks",7300000,"Shandon Anderson","SF","2004-2005"
"461","Memphis Grizzlies",7150000,"Lorenzen Wright","PF","2004-2005"
"462","Dallas Mavericks",7e+06,"Jerry Stackhouse","SF","2004-2005"
"463","Sacramento Kings",6875000,"Doug Christie","SG","2004-2005"
"464","Sacramento Kings",6875000,"Peja Stojakovic","SF","2004-2005"
"465","Denver Nuggets",6667000,"Kenyon Martin","PF","2004-2005"
"466","Utah Jazz",6375000,"Howard Eisley","PG","2004-2005"
"467","San Antonio Spurs",6270000,"Nazr Mohammed","C","2004-2005"
"468","Seattle SuperSonics",6191000,"Vitaly Potapenko","C","2004-2005"
"469","Miami Heat",6078000,"Christian Laettner","PF","2004-2005"
"470","Sacramento Kings",17351000,"Chris Webber","C","2004-2005"
"471","Memphis Grizzlies",6022000,"Stromile Swift","PF","2004-2005"
"472","Portland Trail Blazers",15750000,"Damon Stoudamire","PG","2004-2005"
"473","Seattle SuperSonics",14625000,"Ray Allen","SG","2004-2005"
"474","Minnesota Timberwolves",14625000,"Latrell Sprewell","SG","2004-2005"
"475","Boston Celtics",14625000,"Antoine Walker","PF","2004-2005"
"476","New York Knicks",14625000,"Stephon Marbury","PG","2004-2005"
"477","Detroit Pistons",6e+06,"Ben Wallace","PF","2004-2005"
"478","Seattle SuperSonics",5922000,"Danny Fortson","C","2004-2005"
"479","Milwaukee Bucks",5900000,"Calvin Booth","C","2004-2005"
"480","Milwaukee Bucks",5899000,"Joe Smith","PF","2004-2005"
"481","Houston Rockets",5899000,"Clarence Weatherspoon","PF","2004-2005"
"482","New York Knicks",5885000,"Kurt Thomas","PF","2004-2005"
"483","Charlotte Bobcats",5884000,"Jahidi White","C","2004-2005"
"484","Sacramento Kings",5883000,"Cuttino Mobley","SG","2004-2005"
"485","Indiana Pacers",5792000,"Scot Pollard","C","2004-2005"
"486","Phoenix Suns",5750000,"Steve Nash","PG","2004-2005"
"487","Dallas Mavericks",5714000,"Shawn Bradley","C","2004-2005"
"488","New York Knicks",5600000,"Jerome Williams","PF","2004-2005"
"489","Sacramento Kings",5500000,"Corliss Williamson","PF","2004-2005"
"490","Philadelphia 76ers",5500000,"Aaron McKie","SG","2004-2005"
"491","Portland Trail Blazers",5419000,"Darius Miles","SF","2004-2005"
"492","Washington Wizards",5361000,"Kwame Brown","C","2004-2005"
"493","Phoenix Suns",5355000,"Bo Outlaw","PF","2004-2005"
"494","Milwaukee Bucks",4915000,"Marcus Fizer","F","2004-2005"
"495","Toronto Raptors",4875000,"Lamond Murray","SF","2004-2005"
"496","Cleveland Cavaliers",4875000,"Eric Snow","PG","2004-2005"
"497","Orlando Magic",4800000,"Tony Battie","C","2004-2005"
"498","Atlanta Hawks",4800000,"Michael Stewart","PF","2004-2005"
"499","Memphis Grizzlies",4482000,"Mike Miller","SG","2004-2005"
"500","Memphis Grizzlies",4318000,"Pau Gasol","C","2004-2005"
"501","Philadelphia 76ers",4225000,"Marc Jackson","PF","2004-2005"
"502","Los Angeles Lakers",4200000,"Chucky Atkins","PG","2004-2005"
"503","Denver Nuggets",4119000,"DerMarr Johnson","SF","2004-2005"
"504","Los Angeles Lakers",3785000,"Chris Mihm","C","2004-2005"
"505","New York Knicks",3600000,"Moochie Norris","PG","2004-2005"
"506","New York Knicks",3475000,"Jamal Crawford","SG","2004-2005"
"507","Portland Trail Blazers",3215000,"Joel Przybilla","C","2004-2005"
"508","Memphis Grizzlies",3212000,"Shane Battier","SF","2004-2005"
"509","Toronto Raptors",3150000,"Aaron Williams","C","2004-2005"
"510","Chicago Bulls",3150000,"Othella Harrington","PF","2004-2005"
"511","Sacramento Kings",3150000,"Bobby Jackson","PG","2004-2005"
"512","Miami Heat",3073000,"Keyon Dooling","PG","2004-2005"
"513","Toronto Raptors",3054000,"Jerome Moiso","C","2004-2005"
"514","Washington Wizards",3043000,"Etan Thomas","C","2004-2005"
"515","Golden State Warriors",3e+06,"Derek Fisher","PG","2004-2005"
"516","New Orleans Hornets",3e+06,"George Lynch","SF","2004-2005"
"517","Golden State Warriors",2232000,"Troy Murphy","PF","2004-2005"
"518","Minnesota Timberwolves",2212000,"Mark Madsen","PF","2004-2005"
"519","Sacramento Kings",1985000,"Michael Bradley","PF","2004-2005"
"520","New Jersey Nets",1887000,"Jason Collins","C","2004-2005"
"521","Portland Trail Blazers",1805000,"Zach Randolph","PF","2004-2005"
"522","Utah Jazz",1672000,"Andrei Kirilenko","SF","2004-2005"
"523","Philadelphia 76ers",1600000,"Samuel Dalembert","C","2004-2005"
"524","Indiana Pacers",1554000,"Jamaal Tinsley","PG","2004-2005"
"525","Charlotte Bobcats",1554000,"Primoz Brezec","C","2004-2005"
"526","San Antonio Spurs",1545000,"Tony Parker","PG","2004-2005"
"527","Charlotte Bobcats",1377000,"Gerald Wallace","SF","2004-2005"
"528","Seattle SuperSonics",2969000,"Mateen Cleaves","PG","2004-2005"
"529","Atlanta Hawks",2949000,"Jason Collier","C","2004-2005"
"530","Minnesota Timberwolves",2937000,"Eddie Griffin","PF","2004-2005"
"531","Orlando Magic",2803000,"Hedo Turkoglu","SF","2004-2005"
"532","Cleveland Cavaliers",2695000,"DeSagana Diop","C","2004-2005"
"533","Milwaukee Bucks",2680000,"Desmond Mason","SF","2004-2005"
"534","Phoenix Suns",2562000,"Quentin Richardson","SF","2004-2005"
"535","Golden State Warriors",2481000,"Rodney White","SF","2004-2005"
"536","New Orleans Hornets",2474000,"Jamaal Magloire","C","2004-2005"
"537","Golden State Warriors",2390000,"Speedy Claxton","PG","2004-2005"
"538","Toronto Raptors",2371000,"Morris Peterson","SG","2004-2005"
"539","New Jersey Nets",2363000,"Donnell Harvey","PF","2004-2005"
"540","Orlando Magic",2362000,"DeShawn Stevenson","SG","2004-2005"
"541","Phoenix Suns",2358000,"Joe Johnson","G","2004-2005"
"542","Philadelphia 76ers",2332000,"Kedrick Brown","SG","2004-2005"
"543","Memphis Grizzlies",2322000,"Jake Tsakalidis","C","2004-2005"
"544","Seattle SuperSonics",2301000,"Vladimir Radmanovic","SF","2004-2005"
"545","LA Clippers",2269000,"Mamadou N'diaye","C","2004-2005"
"546","New Jersey Nets",2266000,"Richard Jefferson","F","2004-2005"
"547","Miami Heat",2e+07,"Shaquille O'Neal","C","2005-2006"
"548","LA Clippers",15750000,"Vin Baker","PF","2005-2006"
"549","Orlando Magic",15750000,"Anfernee Hardaway","SF","2005-2006"
"550","Houston Rockets",15694250,"Tracy McGrady","SG","2005-2006"
"551","Orlando Magic",15694250,"Grant Hill","SF","2005-2006"
"552","Memphis Grizzlies",14666250,"Eddie Jones","SG","2005-2006"
"553","Phoenix Suns",13975000,"Tim Thomas","PF","2005-2006"
"554","Toronto Raptors",13865000,"Antonio Davis","PF","2005-2006"
"555","Boston Celtics",13843156,"Paul Pierce","SF","2005-2006"
"556","New Jersey Nets",13843156,"Vince Carter","SF","2005-2006"
"557","Golden State Warriors",13700000,"Baron Davis","PG","2005-2006"
"558","Philadelphia 76ers",19125000,"Chris Webber","C","2005-2006"
"559","Orlando Magic",13700000,"Steve Francis","PG","2005-2006"
"560","Phoenix Suns",13700000,"Shawn Marion","SG","2005-2006"
"561","Seattle SuperSonics",13223140,"Ray Allen","SG","2005-2006"
"562","LA Clippers",13152000,"Elton Brand","PF","2005-2006"
"563","Milwaukee Bucks",1.2e+07,"Michael Redd","SG","2005-2006"
"564","Atlanta Hawks",1.2e+07,"Joe Johnson","G","2005-2006"
"565","Portland Trail Blazers",11666666,"Theo Ratliff","C","2005-2006"
"566","Sacramento Kings",11500000,"Mike Bibby","PG","2005-2006"
"567","Los Angeles Lakers",11448596,"Lamar Odom","PF","2005-2006"
"568","Utah Jazz",11260483,"Carlos Boozer","PF","2005-2006"
"569","Minnesota Timberwolves",1.8e+07,"Kevin Garnett","PF","2005-2006"
"570","Memphis Grizzlies",10993000,"Pau Gasol","C","2005-2006"
"571","Utah Jazz",10983000,"Andrei Kirilenko","SF","2005-2006"
"572","Denver Nuggets",10886364,"Kenyon Martin","PF","2005-2006"
"573","Detroit Pistons",10860000,"Rasheed Wallace","PF","2005-2006"
"574","Portland Trail Blazers",10666667,"Zach Randolph","PF","2005-2006"
"575","Boston Celtics",10623288,"Raef LaFrentz","C","2005-2006"
"576","Minnesota Timberwolves",10500000,"Wally Szczerbiak","SG","2005-2006"
"577","Cleveland Cavaliers",10344900,"Larry Hughes","SG","2005-2006"
"578","Washington Wizards",10243200,"Gilbert Arenas","PG","2005-2006"
"579","New Jersey Nets",10200000,"Richard Jefferson","F","2005-2006"
"580","Philadelphia 76ers",16453125,"Allen Iverson","SG","2005-2006"
"581","Philadelphia 76ers",10075000,"Jamal Mashburn","SF","2005-2006"
"582","New York Knicks",16453125,"Stephon Marbury","PG","2005-2006"
"583","New Jersey Nets",16440000,"Jason Kidd","PG","2005-2006"
"584","Indiana Pacers",16440000,"Jermaine O'Neal","C","2005-2006"
"585","Los Angeles Lakers",15946875,"Kobe Bryant","SF","2005-2006"
"586","San Antonio Spurs",15845157,"Tim Duncan","C","2005-2006"
"587","Phoenix Suns",9625000,"Steve Nash","PG","2005-2006"
"588","Seattle SuperSonics",9571429,"Rashard Lewis","PF","2005-2006"
"589","Denver Nuggets",9400000,"Marcus Camby","C","2005-2006"
"590","New York Knicks",9100000,"Maurice Taylor","PF","2005-2006"
"591","Golden State Warriors",8888888,"Jason Richardson","SG","2005-2006"
"592","Sacramento Kings",8750000,"Brad Miller","C","2005-2006"
"593","Cleveland Cavaliers",8743238,"Zydrunas Ilgauskas","C","2005-2006"
"594","Orlando Magic",8640000,"Kelvin Cato","C","2005-2006"
"595","Philadelphia 76ers",8477178,"Samuel Dalembert","C","2005-2006"
"596","San Antonio Spurs",8400000,"Tony Parker","PG","2005-2006"
"597","Dallas Mavericks",8367187,"Jerry Stackhouse","SF","2005-2006"
"598","Milwaukee Bucks",8333334,"Jamaal Magloire","C","2005-2006"
"599","Chicago Bulls",8299670,"Tyson Chandler","C","2005-2006"
"600","Utah Jazz",8250000,"Mehmet Okur","C","2005-2006"
"601","Sacramento Kings",8183769,"Kenny Thomas","PF","2005-2006"
"602","Detroit Pistons",8125000,"Richard Hamilton","SG","2005-2006"
"603","Denver Nuggets",8100000,"Andre Miller","PG","2005-2006"
"604","Milwaukee Bucks",8e+06,"Bobby Simmons","SF","2005-2006"
"605","Sacramento Kings",8e+06,"Bonzi Wells","SG","2005-2006"
"606","NO/Oklahoma City
 Hornets",8e+06,"P.J. Brown","PF","2005-2006"
"607","Indiana Pacers",7900000,"Austin Croshere","PF","2005-2006"
"608","Memphis Grizzlies",7700000,"Lorenzen Wright","PF","2005-2006"
"609","Dallas Mavericks",7662500,"Erick Dampier","C","2005-2006"
"610","Miami Heat",7562500,"Jason Williams","PG","2005-2006"
"611","Sacramento Kings",7525000,"Peja Stojakovic","SF","2005-2006"
"612","Dallas Mavericks",7500000,"Doug Christie","SG","2005-2006"
"613","Los Angeles Lakers",7500000,"Kwame Brown","C","2005-2006"
"614","Detroit Pistons",7500000,"Ben Wallace","PF","2005-2006"
"615","San Antonio Spurs",7428937,"Manu Ginobili","G","2005-2006"
"616","New York Knicks",7394663,"Eddy Curry","C","2005-2006"
"617","Golden State Warriors",7365079,"Troy Murphy","PF","2005-2006"
"618","Golden State Warriors",7312500,"Adonal Foyle","C","2005-2006"
"619","Portland Trail Blazers",7250000,"Darius Miles","SF","2005-2006"
"620","LA Clippers",7241379,"Cuttino Mobley","SG","2005-2006"
"621","NO/Oklahoma City
 Hornets",7233333,"Desmond Mason","SF","2005-2006"
"622","Indiana Pacers",7175000,"Jonathan Bender","SF","2005-2006"
"623","Phoenix Suns",7085919,"Kurt Thomas","PF","2005-2006"
"624","LA Clippers",7e+06,"Corey Maggette","SF","2005-2006"
"625","New York Knicks",6979147,"Malik Rose","PF","2005-2006"
"626","Atlanta Hawks",6975500,"Al Harrington","PF","2005-2006"
"627","Indiana Pacers",5610000,"Stephen Jackson","SF","2005-2006"
"628","Houston Rockets",5594906,"Yao Ming","C","2005-2006"
"629","Minnesota Timberwolves",5515875,"Mark Blount","C","2005-2006"
"630","San Antonio Spurs",5500000,"Nazr Mohammed","C","2005-2006"
"631","New Jersey Nets",5500000,"Jason Collins","C","2005-2006"
"632","Cleveland Cavaliers",5484375,"Eric Snow","PG","2005-2006"
"633","Indiana Pacers",5400000,"Jamaal Tinsley","PG","2005-2006"
"634","Orlando Magic",5393300,"Hedo Turkoglu","SF","2005-2006"
"635","Golden State Warriors",5393300,"Derek Fisher","PG","2005-2006"
"636","Dallas Mavericks",5393300,"Marquis Daniels","SG","2005-2006"
"637","Washington Wizards",5393300,"Etan Thomas","C","2005-2006"
"638","Minnesota Timberwolves",5280528,"Marko Jaric","PG","2005-2006"
"639","Minnesota Timberwolves",5253000,"Troy Hudson","PG","2005-2006"
"640","Orlando Magic",5200000,"Tony Battie","C","2005-2006"
"641","Houston Rockets",5075000,"David Wesley","SG","2005-2006"
"642","Utah Jazz",5020000,"Matt Harpring","SF","2005-2006"
"643","Los Angeles Lakers",5000600,"Devean George","SF","2005-2006"
"644","Washington Wizards",5e+06,"Antonio Daniels","PG","2005-2006"
"645","Houston Rockets",5e+06,"Stromile Swift","PF","2005-2006"
"646","Charlotte Bobcats",5e+06,"Gerald Wallace","SF","2005-2006"
"647","Miami Heat",5e+06,"Udonis Haslem","PF","2005-2006"
"648","New York Knicks",6945500,"Quentin Richardson","SF","2005-2006"
"649","LA Clippers",6906000,"Howard Eisley","PG","2005-2006"
"650","Miami Heat",6884000,"Antoine Walker","PF","2005-2006"
"651","Memphis Grizzlies",6871431,"Mike Miller","SG","2005-2006"
"652","Sacramento Kings",6842105,"Metta World Peace","SF","2005-2006"
"653","San Antonio Spurs",6720000,"Rasho Nesterovic","C","2005-2006"
"654","Dallas Mavericks",6666667,"Jason Terry","G","2005-2006"
"655","New York Knicks",6480000,"Jamal Crawford","SG","2005-2006"
"656","Milwaukee Bucks",6353200,"Joe Smith","PF","2005-2006"
"657","Portland Trail Blazers",6353200,"Ruben Patterson","PF","2005-2006"
"658","Toronto Raptors",6300000,"Alvin Williams","PG","2005-2006"
"659","Indiana Pacers",6274935,"Scot Pollard","C","2005-2006"
"660","Seattle SuperSonics",6207670,"Danny Fortson","C","2005-2006"
"661","LA Clippers",6187500,"Sam Cassell","PG","2005-2006"
"662","Sacramento Kings",6e+06,"Corliss Williamson","PF","2005-2006"
"663","Minnesota Timberwolves",5909800,"Ricky Davis","SG","2005-2006"
"664","Detroit Pistons",5909800,"Chauncey Billups","PG","2005-2006"
"665","Houston Rockets",5900400,"Juwan Howard","PF","2005-2006"
"666","Minnesota Timberwolves",5900400,"Michael Olowokandi","C","2005-2006"
"667","Sacramento Kings",5e+06,"Shareef Abdur-Rahim","PF","2005-2006"
"668","New York Knicks",5e+06,"Jerome James","C","2005-2006"
"669","Sacramento Kings",4950000,"Brian Skinner","PF","2005-2006"
"670","Memphis Grizzlies",4950000,"Brian Cardinal","PF","2005-2006"
"671","Memphis Grizzlies",4903000,"Shane Battier","SF","2005-2006"
"672","Cleveland Cavaliers",4799108,"Donyell Marshall","PF","2005-2006"
"673","Milwaukee Bucks",4750000,"Dan Gadzuric","C","2005-2006"
"674","San Antonio Spurs",4691390,"Brent Barry","SG","2005-2006"
"675","Cleveland Cavaliers",4621800,"LeBron James","SF","2005-2006"
"676","Charlotte Bobcats",4600000,"Brevin Knight","PG","2005-2006"
